Country,AU,BR,CA,CH,CN,EA,UK,JP,KR,NO,SG,TR,US,ZA
AU,0.0,0.008033992328641876,0.024778258539880256,0.027801178952972655,0.020166367140418678,0.11975028077795559,0.09270537599430678,0.06831606356639375,0.01796855792209236,0.00167207148589076,0.006396577104883442,0.0018796364107049215,0.6054638299694792,0.005067809806379766
BR,0.0005312061428513848,0.0,0.005169783169529943,0.11369711058473542,0.0003099471904726204,0.2671658601357059,0.02299651834137028,0.0012722673958627888,6.306256759138422e-08,0.0003334774289692006,0.0017414817549397275,0.00021276639553355792,0.5864664339508464,0.00010308444661515494
CA,0.014986995337066777,0.009761698338683596,0.0,0.024477553985251376,0.028574106494297726,0.11719996384804134,0.0684410137277021,0.05329669042207408,0.01815029172622258,0.0032128379622345924,0.004550460435363312,0.0015465004569205879,0.650429973990674,0.005371913275467885
CH,0.010209422843438306,0.0042633184134431585,0.014875314793190944,0.0,0.0060780449069453525,0.611468057741908,0.055251832017243346,0.03618553564592249,0.009401158446701788,0.0020506584683929203,0.003800276250156573,0.0005957389515229104,0.24248096638113018,0.003339675140003942
CN,0.02990710250756849,0.010030425373818569,0.021906241039499022,0.028835080225802417,0.0,0.18168704094930285,0.07732296785505126,0.06335584232206073,0.014164345305424488,0.002135043649478966,0.0112153788540171,0.001034299878280022,0.5558820512863696,0.0025241807533266172
EA,0.018404892299791004,0.015754086354935595,0.02762054099042048,0.07658482848624311,0.028869746533528577,0.0,0.1752346925289078,0.09469298581160285,0.028727339421132314,0.008857937268955,0.009441343207605498,0.0033385503514066117,0.5025104243523337,0.009962632393137388
UK,0.02316654652454826,0.008126823602801909,0.018002957568806436,0.03921694066265521,0.025428364446089848,0.3337065377130903,0.0,0.0764922192588521,0.02129983133724812,0.004995263285517702,0.010745230886232861,0.002097436823904741,0.4303147144964979,0.006407133393754623
JP,0.03196290210632827,0.007394108806532746,0.02440584207057022,0.02731621980476398,0.016174452507045165,0.2465551674900305,0.051264972558171036,0.0,0.0147908097683654,0.0018836608807681642,0.010959223445526342,0.0010597057115185682,0.5606529154623459,0.005580019388033761
KR,0.022829919280857428,0.007567470381011888,0.01852307966162586,0.020452672236504155,0.059375219300147386,0.20441710202239224,0.06150478866671738,0.06736420039575713,0.0,0.0018603345575722297,0.007230812204173126,0.0015273456796635909,0.5228324419424278,0.004514613671149767
NO,0.023028859395604718,0.009585527788434772,0.025419694892955293,0.051557091365990466,0.018611540547614127,0.25811012705969427,0.09739457551802483,0.0967017653222253,0.022032843279696054,0.0,0.006795889025551002,0.002427992201421082,0.3802851578627825,0.008048935740005527
SG,0.02950156449757409,0.0,0.022614025266460766,0.019307684226386564,0.2104103786502634,0.10893931504434261,0.053596831263646484,0.10123142875988272,0.06953168654841549,0.0,0.0,0.0,0.38486708574302786,0.0
TR,0.001589832083962836,0.0,0.021055732233379944,0.015356638157148139,0.002284587584982243,0.10880267590645068,0.03210098963343232,0.0042146329488157094,0.0,0.00022553400242360632,0.0,0.0,0.8143693774494045,0.0
US,0.030763452259648195,0.022806609042743446,0.09219382253137638,0.07595846008694057,0.02447300397755689,0.3289821123925919,0.17193850045209158,0.16419233458329985,0.03727212454112823,0.006014995510528601,0.022160898692967165,0.005545373690518434,0.0,0.017698312238608762
ZA,0.006352661219869381,0.005966153168413608,0.015599082170239158,0.0035195093543840777,0.006949701855061732,0.320166362957372,0.47981758118205053,0.004806097366107562,0.0002599758420383405,0.00021212752755275636,0.006380306912683275,0.00014886142284403956,0.1498215790213836,0.0
