Country,AU,BR,CA,CH,CN,EA,UK,JP,KR,NO,SG,TR,US,ZA
AU,0.000000000000,0.004816100491,0.059606344837,0.013775222167,0.031347962029,0.252243679519,0.077018611451,0.079458103817,0.018209787953,0.022037298511,0.025245409768,0.000350770156,0.414307859830,0.001582849471
BR,0.001108955913,0.000000000000,0.005574099624,0.059175221188,0.007898933574,0.382346746568,0.029423876363,0.005017787619,0.062498338190,0.000274821202,0.000926965320,0.000130777037,0.445045858399,0.000577619004
CA,0.024912495962,0.014311546095,0.000000000000,0.013856120589,0.008138468085,0.113945317514,0.054152643014,0.035095305208,0.002622209954,0.007020963544,0.001716645054,0.003637175002,0.716535292257,0.004055817722
CH,0.051705669393,0.004830862293,0.056237647749,0.000000000000,0.014133218563,0.399235778112,0.081148944510,0.024484174253,0.010909043204,0.014077143590,0.003469430936,0.002767534394,0.334422687725,0.002577865278
CN,0.042439655597,0.016119549278,0.027596146193,0.021379517666,0.000000000000,0.103320399579,0.081739431281,0.039606862739,0.025632576548,0.000808350013,0.046966639323,0.002139775402,0.589374331641,0.002876764741
EA,0.044595563405,0.015080649636,0.047503528093,0.031678423180,0.024112602000,0.000000000000,0.263894607802,0.057880182894,0.006443117103,0.024889702262,0.005086669096,0.009172985114,0.461675749538,0.007986219878
UK,0.033731185408,0.016852092228,0.028960032390,0.026220771363,0.015514733971,0.358794593714,0.000000000000,0.052404527025,0.006180204214,0.010497942873,0.006612337881,0.004681850431,0.432810743003,0.006738985499
JP,0.052115724631,0.008933132007,0.025206355644,0.013657073744,0.017242540399,0.279201479533,0.062168934196,0.000000000000,0.006769887320,0.007541272291,0.004813575817,0.002158835093,0.518306534539,0.001884654786
KR,0.042069770762,0.060805425108,0.028264836603,0.018413242937,0.069210251593,0.154244691882,0.085320729391,0.038855030136,0.000000000000,0.002515497663,0.017199984565,0.001002147986,0.481044932630,0.001053458742
NO,0.037262613052,0.008802413237,0.048974798951,0.021860502321,0.006829936052,0.321219905361,0.064649137325,0.081924492434,0.019029645065,0.000000000000,0.005365251091,0.004303199038,0.375195646233,0.004582459840
SG,0.046881288627,0.005877878595,0.032280853039,0.016863850537,0.158664094252,0.106449082205,0.059581839664,0.007155462332,0.051866925608,0.000185669576,0.000000000000,0.000017980746,0.513499613163,0.000675461655
TR,0.003108853779,0.062793792134,0.013163781404,0.025149757877,0.079599567824,0.273061054034,0.091468289291,0.013268971063,0.001998818237,0.000341612732,0.005003204164,0.000000000000,0.429925369597,0.001116927864
US,0.071846543259,0.036812976688,0.216919905368,0.033843267752,0.025224089526,0.278503142264,0.171777678776,0.114018832557,0.009844651229,0.016252262584,0.008491104623,0.007669027755,0.000000000000,0.008796517619
ZA,0.004524043447,0.002776650309,0.004199205933,0.023099822945,0.003027017849,0.352135522045,0.199264039359,0.007154815503,0.000443283758,0.000523745789,0.005118332748,0.002692696637,0.395040823678,0.000000000000
