Country,AU,BR,CA,CH,CN,EA,UK,JP,KR,NO,SG,TR,US,ZA
AU,0.000000000000,0.006474298483,0.024598397364,0.027589607440,0.068994070390,0.119330841224,0.080197836772,0.064556531403,0.016745725409,0.001596125468,0.005805796932,0.001763395188,0.577368952871,0.004978421056
BR,0.000738481194,0.000000000000,0.007659877741,0.086524137759,0.149604077966,0.218531878470,0.024281490518,0.001993507088,0.000123273525,0.000952327405,0.006788835209,0.000174246590,0.502314139864,0.000313726671
CA,0.014204579706,0.008558968681,0.000000000000,0.021691007381,0.048865810600,0.117717264727,0.063649364341,0.051716349595,0.017442773493,0.003203823869,0.002684639036,0.001496029568,0.643602509705,0.005166879299
CH,0.009488606492,0.003264774080,0.016188096390,0.000000000000,0.079838354822,0.523653255714,0.055006232891,0.039753592537,0.008388817204,0.002314701514,0.002496502993,0.000514669698,0.255855761069,0.003236634597
CN,0.034483948100,0.007213356123,0.021340549357,0.025761563674,0.000000000000,0.178061872287,0.117561216641,0.058731280752,0.013191418469,0.002151277960,0.014306942751,0.000854915645,0.523873279096,0.002468379145
EA,0.019031107738,0.012839585538,0.027091179473,0.071720746409,0.088298900481,0.000000000000,0.152483300140,0.092131386718,0.026498296169,0.008479887673,0.006633570821,0.002995247161,0.482267785378,0.009529006301
UK,0.022112361024,0.006962383272,0.018256361111,0.040262727333,0.049586125118,0.309926157555,0.000000000000,0.076420872232,0.020527740553,0.005068370927,0.007605317204,0.002021507378,0.435127194461,0.006122881830
JP,0.019130463081,0.003749287414,0.017308141067,0.019279667051,0.353208759771,0.151821551495,0.035939108497,0.000000000000,0.009223761484,0.001455541699,0.009305825607,0.000661457814,0.375543952949,0.003372482071
KR,0.021166608699,0.005652562767,0.018677857230,0.020409100501,0.094063886332,0.195267097635,0.057309951024,0.064803372761,0.000000000000,0.001870628652,0.008108978542,0.001333123668,0.507082321978,0.004254510211
NO,0.023211281820,0.007396307486,0.026137147439,0.045571015647,0.039631463674,0.256106730814,0.090406503205,0.095738753728,0.021323874736,0.000000000000,0.004677619167,0.002347778669,0.379249858554,0.008201665061
SG,0.025916675048,0.000176627931,0.020864313966,0.018995130413,0.266488481370,0.102083619411,0.050136164884,0.092473557757,0.061893833114,0.000332277624,0.000000000000,0.000019069816,0.360470899332,0.000149349334
TR,0.002413017135,0.000222376800,0.021225370363,0.014202219894,0.032383613805,0.109136186952,0.031977569659,0.005199390075,0.000079540205,0.000226168446,0.000413568344,0.000000000000,0.782431589327,0.000089388994
US,0.031802923006,0.017769396999,0.081385631035,0.067660323622,0.117752474579,0.290273779313,0.169170467006,0.151642488380,0.037891325688,0.006248157746,0.007816858668,0.003641093864,0.000000000000,0.016945080094
ZA,0.010376462901,0.004555930362,0.016365903558,0.008365429050,0.022321275600,0.314067013437,0.406119012430,0.007335232390,0.000262419055,0.001177903116,0.012559794530,0.000296146481,0.196197477090,0.000000000000
