Country,AU,BR,CA,CH,CN,EA,UK,JP,KR,NO,SG,TR,US,ZA
AU,0.000000000000,0.005888063908,0.036975006977,0.022705709185,0.055684772923,0.166320465890,0.079073862546,0.069824790689,0.017263325893,0.008822839315,0.012678422049,0.001263979775,0.519720800458,0.003777960391
BR,0.000836537844,0.000000000000,0.007107817360,0.079285470710,0.112097789309,0.261890133074,0.025642568894,0.002793968772,0.016632604858,0.000773006158,0.005237324958,0.000162741139,0.487156463657,0.000383573268
CA,0.016476712248,0.009779618715,0.000000000000,0.020028508272,0.040223800517,0.116916888276,0.061634237490,0.048189499466,0.014297970724,0.004013789792,0.002479238604,0.001950363175,0.659078251632,0.004931121089
CH,0.027796069506,0.003943909483,0.033555616294,0.000000000000,0.051345270054,0.469699517273,0.066343040645,0.033131997114,0.009481715220,0.007415493906,0.002918413972,0.001491626271,0.289926371506,0.002950958756
CN,0.037800280953,0.010925898466,0.023948191896,0.023934909898,0.000000000000,0.146905925250,0.102628922601,0.050759276279,0.018377509245,0.001591479090,0.027921121597,0.001390508818,0.551177361422,0.002638614485
EA,0.032768637685,0.014043862506,0.038060130039,0.050203268326,0.053807213700,0.000000000000,0.212352213267,0.073725873047,0.015721277225,0.017298003039,0.005802314758,0.006314968153,0.471202276583,0.008699961671
UK,0.026086957780,0.010345479860,0.021917899984,0.035459219612,0.037930897683,0.326643195476,0.000000000000,0.068205300278,0.015619699128,0.006925732595,0.007265636332,0.002931564241,0.434334776903,0.006333640127
JP,0.038758097595,0.006833895577,0.022007914898,0.015933984729,0.153294560128,0.227618030117,0.051546971160,0.000000000000,0.007763601917,0.005076810417,0.006632745786,0.001552461025,0.460493765138,0.002487161513
KR,0.029525685572,0.027707934804,0.022511645501,0.019610966384,0.084125033889,0.178862429186,0.068511330458,0.054426751747,0.000000000000,0.002128508757,0.011744429387,0.001200768039,0.496670091596,0.002974424680
NO,0.028063592313,0.007881874411,0.034023615578,0.037383124356,0.028304195528,0.278592097851,0.081511777525,0.090968309993,0.020531614236,0.000000000000,0.004915077351,0.003023039014,0.377849827720,0.006951854122
SG,0.035560479104,0.002799225484,0.026115966490,0.018014733353,0.216888842534,0.104091749331,0.054481212142,0.053226900925,0.057281416533,0.000264837350,0.000000000000,0.000018568840,0.430864704858,0.000391363055
TR,0.002701599716,0.026172462512,0.017882007850,0.018742464788,0.051965367665,0.177120334799,0.056650006190,0.008546067103,0.000875517556,0.000274046364,0.002317016465,0.000000000000,0.636237571387,0.000515537606
US,0.042667379913,0.022936216322,0.118158187401,0.058485230464,0.092648084774,0.287080222432,0.169877844105,0.141434605457,0.030281826744,0.008962426966,0.007999792081,0.004733934969,0.000000000000,0.014734248374
ZA,0.010144076076,0.004485279028,0.015882790506,0.008950499726,0.021555142666,0.315578630964,0.397905252177,0.007328068428,0.000269600798,0.001151927954,0.012264310297,0.000391308266,0.204093113113,0.000000000000
