Country,AU,BR,CA,CH,CN,EA,UK,JP,KR,NO,SG,TR,US,ZA
AU,0.000000000000,0.005846247698,0.037807245765,0.021148566033,0.018327367677,0.176150479606,0.088635382498,0.069733010212,0.017467845785,0.009190357570,0.014422319105,0.001318030523,0.536167460178,0.003785687350
BR,0.000507438305,0.000000000000,0.004682749033,0.095029700672,0.000302081525,0.309271693877,0.023273230410,0.001041685280,0.019502348687,0.000280272323,0.001394679732,0.000184188808,0.544436913283,0.000093018063
CA,0.017375603734,0.009610497669,0.000000000000,0.020831128330,0.023047484514,0.114873269487,0.064069984459,0.046595352044,0.014692398055,0.004138770095,0.003977913984,0.002026158243,0.673710976674,0.005050462710
CH,0.023335632997,0.003585546810,0.034021053472,0.000000000000,0.005306447321,0.529761460759,0.072173874520,0.028061242180,0.009759421964,0.007455625658,0.003986061283,0.001597098741,0.278277019307,0.002679514988
CN,0.037056028934,0.007606215261,0.023551623822,0.020819707987,0.000000000000,0.153082131098,0.070890499588,0.052224841366,0.019588662784,0.001596162386,0.024796205560,0.001643063549,0.584749936030,0.002394921634
EA,0.031415808296,0.013587183455,0.037949838387,0.040893565943,0.015430343900,0.000000000000,0.250485675543,0.070315664139,0.016214237151,0.019274491976,0.008862463729,0.006744295940,0.480616279992,0.008210151550
UK,0.026652116942,0.008701679579,0.021211766841,0.030348646552,0.019295390219,0.363322371791,0.000000000000,0.064791157135,0.015915631667,0.007268264990,0.009526548068,0.002996408890,0.423847945060,0.006122072266
JP,0.049640446648,0.004903375362,0.024289321392,0.011090876785,0.007740911013,0.277898940845,0.056988824360,0.000000000000,0.009034232142,0.006395996429,0.006799748940,0.001984434553,0.540355015249,0.002877876282
KR,0.032411312368,0.032013931449,0.022302040871,0.015581239768,0.049154698686,0.186618500265,0.073792040440,0.054453019202,0.000000000000,0.002177889605,0.012521902046,0.001356709092,0.514650669436,0.002966046773
NO,0.026773531825,0.009278513656,0.033772828508,0.036498769195,0.013749619036,0.285093775642,0.087773649045,0.090063650217,0.020854999414,0.000000000000,0.006314968937,0.003100574376,0.379872816786,0.006852303364
SG,0.040993143068,0.001339160194,0.027605975832,0.013712818692,0.164397055388,0.115540675328,0.056811547008,0.053719171060,0.062909332078,0.000000000000,0.000000000000,0.000000000000,0.462971121352,0.000000000000
TR,0.001344088845,0.014852084205,0.016385266396,0.011815955852,0.001688178876,0.222451084715,0.042759154193,0.003113538513,0.000000000000,0.000166612090,0.000000000000,0.000000000000,0.685026682266,0.000397354049
US,0.042783926429,0.019341222793,0.123011033803,0.063587065681,0.019960918117,0.332779664921,0.176638494344,0.141698413766,0.031220900592,0.008927115614,0.020732954157,0.004950506278,0.000000000000,0.014367783504
ZA,0.006185640426,0.005710565337,0.014932311979,0.003411486747,0.006653594475,0.324340985608,0.468253641475,0.004625624047,0.000248727750,0.000219226299,0.006191744174,0.000261952538,0.158964499144,0.000000000000
