Investor_Code,Investor_ISO3,Investor_Name,Issuer_Code,Issuer_ISO3_or_Group,Issuer_Name,Year,Methodology,Asset_Class_Codes,Source_Rows,Source_NA_Restated,Source_NA_Residency,Position_Residency_USD_mn,Restated_Ex_Domestic_USD_mn,Restated_Equity_USD_mn,Restated_Bonds_USD_mn,Diagonal_Forced_Zero,Imputation_By_This_Project,Publisher_Adjustment_Flag,Cell_Treatment,Primary_Source,Upstream_Source,Source_URL,Weight_Main,Weight_Residency,Weight_Equity,Weight_Bonds
AU,AUS,Australia,AU,AUS,Australia,2017,Fund Holdings,EF+B,2,0,0,313644.65625,318493.48826196976,184148.26977136917,134345.2184906006,True,none,GCAP estimated restatement; Position_Residency may include GCAP interpolation/extrapolation per documentation,EA issuer aggregation + diagonal set to zero + within-sample row normalization,GCAP Restated Bilateral External Portfolios v1.8,IMF CPIS,https://globalcapitalallocation.s3.us-east-2.amazonaws.com/Restated_Bilateral_External_Portfolios_ReadMe.pdf,0.0,0.0,0.0,0.0
AU,AUS,Australia,BR,BRA,Brazil,2017,Fund Holdings,EF+B,2,0,0,3719.245200000011,3888.6490085460246,2764.155858784914,1124.4931497611105,False,none,GCAP estimated restatement; Position_Residency may include GCAP interpolation/extrapolation per documentation,diagonal set to zero + within-sample row normalization,GCAP Restated Bilateral External Portfolios v1.8,IMF CPIS,https://globalcapitalallocation.s3.us-east-2.amazonaws.com/Restated_Bilateral_External_Portfolios_ReadMe.pdf,0.0058880639081212716,0.0058462476981976375,0.006474298483170584,0.004816100490949497
AU,AUS,Australia,CA,CAN,Canada,2017,Fund Holdings,EF+B,2,0,0,24052.080000000016,24419.37221890266,10502.111443867529,13917.26077503513,False,none,GCAP estimated restatement; Position_Residency may include GCAP interpolation/extrapolation per documentation,diagonal set to zero + within-sample row normalization,GCAP Restated Bilateral External Portfolios v1.8,IMF CPIS,https://globalcapitalallocation.s3.us-east-2.amazonaws.com/Restated_Bilateral_External_Portfolios_ReadMe.pdf,0.036975006976744544,0.037807245765045315,0.02459839736425324,0.059606344836834434
AU,AUS,Australia,CH,CHE,Switzerland,2017,Fund Holdings,EF+B,2,0,0,13454.22,14995.512088365853,11779.187389202416,3216.324699163437,False,none,GCAP estimated restatement; Position_Residency may include GCAP interpolation/extrapolation per documentation,diagonal set to zero + within-sample row normalization,GCAP Restated Bilateral External Portfolios v1.8,IMF CPIS,https://globalcapitalallocation.s3.us-east-2.amazonaws.com/Restated_Bilateral_External_Portfolios_ReadMe.pdf,0.022705709185184796,0.021148566033248998,0.02758960744001571,0.013775222166524336
AU,AUS,Australia,CN,CHN,China,2017,Fund Holdings,EF+B,2,0,0,11659.440000000019,36775.84693355765,29456.52944280114,7319.317490756512,False,none,GCAP estimated restatement; Position_Residency may include GCAP interpolation/extrapolation per documentation,diagonal set to zero + within-sample row normalization,GCAP Restated Bilateral External Portfolios v1.8,IMF CPIS,https://globalcapitalallocation.s3.us-east-2.amazonaws.com/Restated_Bilateral_External_Portfolios_ReadMe.pdf,0.05568477292349855,0.018327367677257032,0.06899407039038341,0.031347962029058485
AU,AUS,Australia,EA,EMU,European Monetary Union,2017,Fund Holdings,EF+B,38,0,0,112062.78960000009,109842.8829707824,50947.45705044776,58895.425920334645,False,none,GCAP estimated restatement; Position_Residency may include GCAP interpolation/extrapolation per documentation,EA issuer aggregation + diagonal set to zero + within-sample row normalization,GCAP Restated Bilateral External Portfolios v1.8,IMF CPIS,https://globalcapitalallocation.s3.us-east-2.amazonaws.com/Restated_Bilateral_External_Portfolios_ReadMe.pdf,0.16632046589004915,0.17615047960607833,0.11933084122402188,0.2522436795189564
AU,AUS,Australia,UK,GBR,United Kingdom,2017,Fund Holdings,EF+B,2,0,0,56387.74440000014,52222.68337930774,34239.898106500856,17982.785272806883,False,none,GCAP estimated restatement; Position_Residency may include GCAP interpolation/extrapolation per documentation,diagonal set to zero + within-sample row normalization,GCAP Restated Bilateral External Portfolios v1.8,IMF CPIS,https://globalcapitalallocation.s3.us-east-2.amazonaws.com/Restated_Bilateral_External_Portfolios_ReadMe.pdf,0.07907386254588145,0.08863538249778653,0.08019783677186754,0.07701861145121564
AU,AUS,Australia,JP,JPN,Japan,2017,Fund Holdings,EF+B,2,0,0,44362.5,46114.3267674027,27561.95361753553,18552.37314986717,False,none,GCAP estimated restatement; Position_Residency may include GCAP interpolation/extrapolation per documentation,diagonal set to zero + within-sample row normalization,GCAP Restated Bilateral External Portfolios v1.8,IMF CPIS,https://globalcapitalallocation.s3.us-east-2.amazonaws.com/Restated_Bilateral_External_Portfolios_ReadMe.pdf,0.0698247906894477,0.06973301021166659,0.06455653140256354,0.0794581038171155
AU,AUS,Australia,KR,KOR,"Korea, Republic of",2017,Fund Holdings,EF+B,2,0,0,11112.632400000026,11401.203547705314,7149.468798864982,4251.734748840332,False,none,GCAP estimated restatement; Position_Residency may include GCAP interpolation/extrapolation per documentation,diagonal set to zero + within-sample row normalization,GCAP Restated Bilateral External Portfolios v1.8,IMF CPIS,https://globalcapitalallocation.s3.us-east-2.amazonaws.com/Restated_Bilateral_External_Portfolios_ReadMe.pdf,0.017263325893094247,0.017467845784788927,0.01674572540938935,0.01820978795257853
AU,AUS,Australia,NO,NOR,Norway,2017,Fund Holdings,EF+B,2,0,0,5846.689200000014,5826.860219500959,681.4544577822089,5145.40576171875,False,none,GCAP estimated restatement; Position_Residency may include GCAP interpolation/extrapolation per documentation,diagonal set to zero + within-sample row normalization,GCAP Restated Bilateral External Portfolios v1.8,IMF CPIS,https://globalcapitalallocation.s3.us-east-2.amazonaws.com/Restated_Bilateral_External_Portfolios_ReadMe.pdf,0.00882283931532802,0.009190357569750165,0.0015961254675084125,0.022037298511255955
AU,AUS,Australia,SG,SGP,Singapore,2017,Fund Holdings,EF+B,2,0,0,9175.14000000001,8373.19942510128,2478.74385869503,5894.45556640625,False,none,GCAP estimated restatement; Position_Residency may include GCAP interpolation/extrapolation per documentation,diagonal set to zero + within-sample row normalization,GCAP Restated Bilateral External Portfolios v1.8,IMF CPIS,https://globalcapitalallocation.s3.us-east-2.amazonaws.com/Restated_Bilateral_External_Portfolios_ReadMe.pdf,0.01267842204891481,0.01442231910540369,0.005805796932005194,0.02524540976819645
AU,AUS,Australia,TR,TUR,Turkey,2017,Fund Holdings,EF+B,2,0,0,838.500000000001,834.7690811157227,752.8690795898438,81.9000015258789,False,none,GCAP estimated restatement; Position_Residency may include GCAP interpolation/extrapolation per documentation,diagonal set to zero + within-sample row normalization,GCAP Restated Bilateral External Portfolios v1.8,IMF CPIS,https://globalcapitalallocation.s3.us-east-2.amazonaws.com/Restated_Bilateral_External_Portfolios_ReadMe.pdf,0.0012639797748089485,0.0013180305226820513,0.0017633951879100032,0.0003507701559954769
AU,AUS,Australia,US,USA,United States,2017,Fund Holdings,EF+B,2,0,0,341097.1200000002,343238.76353229315,246503.58303782064,96735.1804944725,False,none,GCAP estimated restatement; Position_Residency may include GCAP interpolation/extrapolation per documentation,diagonal set to zero + within-sample row normalization,GCAP Restated Bilateral External Portfolios v1.8,IMF CPIS,https://globalcapitalallocation.s3.us-east-2.amazonaws.com/Restated_Bilateral_External_Portfolios_ReadMe.pdf,0.5197208004582363,0.5361674601776293,0.5773689528706349,0.4143078598304409
AU,AUS,Australia,ZA,ZAF,South Africa,2017,Fund Holdings,EF+B,2,0,0,2408.365200000006,2495.0751481009647,2125.501591558568,369.57355654239655,False,none,GCAP estimated restatement; Position_Residency may include GCAP interpolation/extrapolation per documentation,diagonal set to zero + within-sample row normalization,GCAP Restated Bilateral External Portfolios v1.8,IMF CPIS,https://globalcapitalallocation.s3.us-east-2.amazonaws.com/Restated_Bilateral_External_Portfolios_ReadMe.pdf,0.0037779603906902075,0.0037856873504654347,0.004978421056276295,0.0015828494708784251
BR,BRA,Brazil,AU,AUS,Australia,2017,Issuance,EF+B,2,0,0,12.91051413,24.97522241573938,16.212147434981716,8.763074980757665,False,none,GCAP estimated restatement; Position_Residency may include GCAP interpolation/extrapolation per documentation,diagonal set to zero + within-sample row normalization,GCAP Restated Bilateral External Portfolios v1.8,IMF CPIS,https://globalcapitalallocation.s3.us-east-2.amazonaws.com/Restated_Bilateral_External_Portfolios_ReadMe.pdf,0.0008365378437861405,0.0005074383052476192,0.0007384811935765939,0.0011089559132544293
BR,BRA,Brazil,BR,BRA,Brazil,2017,Issuance,EF+B,2,0,0,0.0,38.65043625421822,9.548212457448244,29.102223796769977,True,none,GCAP estimated restatement; Position_Residency may include GCAP interpolation/extrapolation per documentation,EA issuer aggregation + diagonal set to zero + within-sample row normalization,GCAP Restated Bilateral External Portfolios v1.8,IMF CPIS,https://globalcapitalallocation.s3.us-east-2.amazonaws.com/Restated_Bilateral_External_Portfolios_ReadMe.pdf,0.0,0.0,0.0,0.0
BR,BRA,Brazil,CA,CAN,Canada,2017,Issuance,EF+B,2,0,0,119.14098115,212.20715926177218,168.16009447348188,44.0470647882903,False,none,GCAP estimated restatement; Position_Residency may include GCAP interpolation/extrapolation per documentation,diagonal set to zero + within-sample row normalization,GCAP Restated Bilateral External Portfolios v1.8,IMF CPIS,https://globalcapitalallocation.s3.us-east-2.amazonaws.com/Restated_Bilateral_External_Portfolios_ReadMe.pdf,0.0071078173595343986,0.004682749033193967,0.007659877741475137,0.005574099624359506
BR,BRA,Brazil,CH,CHE,Switzerland,2017,Issuance,EF+B,2,0,0,2417.79597758,2367.1042260899007,1899.4960064354268,467.60821965447394,False,none,GCAP estimated restatement; Position_Residency may include GCAP interpolation/extrapolation per documentation,diagonal set to zero + within-sample row normalization,GCAP Restated Bilateral External Portfolios v1.8,IMF CPIS,https://globalcapitalallocation.s3.us-east-2.amazonaws.com/Restated_Bilateral_External_Portfolios_ReadMe.pdf,0.07928547070965832,0.0950297006721688,0.0865241377585578,0.05917522118786777
BR,BRA,Brazil,CN,CHN,China,2017,Issuance,EF+B,2,0,0,7.6857181699999995,3346.731102590671,3284.3129790691637,62.41812352150737,False,none,GCAP estimated restatement; Position_Residency may include GCAP interpolation/extrapolation per documentation,diagonal set to zero + within-sample row normalization,GCAP Restated Bilateral External Portfolios v1.8,IMF CPIS,https://globalcapitalallocation.s3.us-east-2.amazonaws.com/Restated_Bilateral_External_Portfolios_ReadMe.pdf,0.11209778930852936,0.00030208152545475994,0.14960407796617292,0.007898933573593163
BR,BRA,Brazil,EA,EMU,European Monetary Union,2017,Issuance,EF+B,38,0,0,7868.654243309825,7818.8504807010795,4797.510165205844,3021.340315495236,False,none,GCAP estimated restatement; Position_Residency may include GCAP interpolation/extrapolation per documentation,EA issuer aggregation + diagonal set to zero + within-sample row normalization,GCAP Restated Bilateral External Portfolios v1.8,IMF CPIS,https://globalcapitalallocation.s3.us-east-2.amazonaws.com/Restated_Bilateral_External_Portfolios_ReadMe.pdf,0.26189013307404707,0.30927169387673525,0.2185318784698709,0.3823467465678075
BR,BRA,Brazil,UK,GBR,United Kingdom,2017,Issuance,EF+B,2,0,0,592.1298548999999,765.5706985707549,533.0604321907302,232.51026638002463,False,none,GCAP estimated restatement; Position_Residency may include GCAP interpolation/extrapolation per documentation,diagonal set to zero + within-sample row normalization,GCAP Restated Bilateral External Portfolios v1.8,IMF CPIS,https://globalcapitalallocation.s3.us-east-2.amazonaws.com/Restated_Bilateral_External_Portfolios_ReadMe.pdf,0.025642568894386722,0.023273230409839196,0.024281490517613802,0.029423876363111688
BR,BRA,Brazil,JP,JPN,Japan,2017,Issuance,EF+B,2,0,0,26.503108640000004,83.41522386149904,43.76418939418386,39.651034467315185,False,none,GCAP estimated restatement; Position_Residency may include GCAP interpolation/extrapolation per documentation,diagonal set to zero + within-sample row normalization,GCAP Restated Bilateral External Portfolios v1.8,IMF CPIS,https://globalcapitalallocation.s3.us-east-2.amazonaws.com/Restated_Bilateral_External_Portfolios_ReadMe.pdf,0.0027939687721884425,0.001041685280435469,0.001993507087777447,0.00501778761858575
BR,BRA,Brazil,KR,KOR,"Korea, Republic of",2017,Issuance,EF+B,2,0,0,496.18908482999996,496.5740746366095,2.7062687286047122,493.8678059080048,False,none,GCAP estimated restatement; Position_Residency may include GCAP interpolation/extrapolation per documentation,diagonal set to zero + within-sample row normalization,GCAP Restated Bilateral External Portfolios v1.8,IMF CPIS,https://globalcapitalallocation.s3.us-east-2.amazonaws.com/Restated_Bilateral_External_Portfolios_ReadMe.pdf,0.0166326048577978,0.019502348686752286,0.00012327352492037542,0.062498338189538115
BR,BRA,Brazil,NO,NOR,Norway,2017,Issuance,EF+B,2,0,0,7.1308369,23.078454695696422,20.906791448339703,2.171663247356719,False,none,GCAP estimated restatement; Position_Residency may include GCAP interpolation/extrapolation per documentation,diagonal set to zero + within-sample row normalization,GCAP Restated Bilateral External Portfolios v1.8,IMF CPIS,https://globalcapitalallocation.s3.us-east-2.amazonaws.com/Restated_Bilateral_External_Portfolios_ReadMe.pdf,0.0007730061581708829,0.00028027232340228935,0.0009523274053943515,0.00027482120203715607
BR,BRA,Brazil,SG,SGP,Singapore,2017,Issuance,EF+B,2,0,0,35.484180439999996,156.36274755855504,149.0377795316,7.324968026955048,False,none,GCAP estimated restatement; Position_Residency may include GCAP interpolation/extrapolation per documentation,diagonal set to zero + within-sample row normalization,GCAP Restated Bilateral External Portfolios v1.8,IMF CPIS,https://globalcapitalallocation.s3.us-east-2.amazonaws.com/Restated_Bilateral_External_Portfolios_ReadMe.pdf,0.005237324958062355,0.001394679731904241,0.00678883520877784,0.0009269653204757928
BR,BRA,Brazil,TR,TUR,Turkey,2017,Issuance,EF+B,2,0,0,4.68622922,4.858711624809075,3.825299058109522,1.0334125666995533,False,none,GCAP estimated restatement; Position_Residency may include GCAP interpolation/extrapolation per documentation,diagonal set to zero + within-sample row normalization,GCAP Restated Bilateral External Portfolios v1.8,IMF CPIS,https://globalcapitalallocation.s3.us-east-2.amazonaws.com/Restated_Bilateral_External_Portfolios_ReadMe.pdf,0.00016274113913936536,0.0001841888083971039,0.00017424659043777847,0.00013077703650708942
